antecedents_str,consequents_str,support,confidence,lift
"PM10_VERY_HIGH, SEASON_WINTER",PM2.5_VERY_HIGH,0.09934178449536811,0.9209039548022598,3.685412704974507
"NO2_VERY_HIGH, PM2.5_VERY_HIGH",PM10_VERY_HIGH,0.12250121891760117,0.8913525498891354,3.5662795997515078
"CO_VERY_HIGH, PM2.5_VERY_HIGH",PM10_VERY_HIGH,0.1098244758654315,0.8863748155435317,3.5463638072270833
"CO_VERY_HIGH, PM10_VERY_HIGH",PM2.5_VERY_HIGH,0.1098244758654315,0.8850687622789783,3.5420020125545064
"PM2.5_VERY_HIGH, SO2_VERY_HIGH",PM10_VERY_HIGH,0.09477084349098001,0.8835227272727273,3.5349526722972224
"NO2_VERY_HIGH, PM10_VERY_HIGH",PM2.5_VERY_HIGH,0.12250121891760117,0.8739130434782609,3.49735737009544
"NO2_LOW, PM2.5_LOW",PM10_LOW,0.10628961482203803,0.8574237954768928,3.4288592825212914
"PM10_VERY_HIGH, SO2_VERY_HIGH",PM2.5_VERY_HIGH,0.09477084349098001,0.8337801608579088,3.3367475315503823
"PM10_LOW, SEASON_MONSOON",PM2.5_LOW,0.09056557776694295,0.8329596412556053,3.331838565022421
"CO_LOW, PM10_LOW",PM2.5_LOW,0.09147976596782058,0.8229166666666667,3.291666666666667
"O3_LOW, PM10_LOW",PM2.5_LOW,0.0810580204778157,0.8174554394591271,3.2698217578365085
"CO_LOW, PM2.5_LOW",PM10_LOW,0.09147976596782058,0.8139913232104122,3.255171735616974
"NO2_LOW, PM10_LOW",PM2.5_LOW,0.10628961482203803,0.80183908045977,3.20735632183908
PM2.5_VERY_HIGH,PM10_VERY_HIGH,0.19825694783032666,0.7934146341463414,3.174432410893238
PM10_VERY_HIGH,PM2.5_VERY_HIGH,0.19825694783032666,0.7932211655693733,3.174432410893238
