antecedents_str,consequents_str,support,confidence,lift
PM10_VERY_HIGH,PM2.5_VERY_HIGH,0.19825694783032666,0.7932211655693733,3.174432410893238
PM2.5_VERY_HIGH,PM10_VERY_HIGH,0.19825694783032666,0.7934146341463414,3.174432410893238
PM2.5_LOW,PM10_LOW,0.18929790346172598,0.7571916138469039,3.0280282719961003
PM10_LOW,PM2.5_LOW,0.18929790346172598,0.7570070679990251,3.0280282719961003
PM2.5_HIGH,PM10_HIGH,0.14419795221843004,0.5765107212475634,2.3054808467536
PM10_HIGH,PM2.5_HIGH,0.14419795221843004,0.5766512308067269,2.3054808467536
PM10_VERY_HIGH,NO2_VERY_HIGH,0.1401755241345685,0.5608388198000487,2.2433552792001947
NO2_VERY_HIGH,PM10_VERY_HIGH,0.1401755241345685,0.560702096538274,2.2433552792001947
PM2.5_VERY_HIGH,NO2_VERY_HIGH,0.13743295953193563,0.5499999999999999,2.1999999999999997
NO2_VERY_HIGH,PM2.5_VERY_HIGH,0.13743295953193563,0.5497318381277425,2.1999999999999997
PM2.5_MID,PM10_MID,0.1371282301316431,0.5485129205265724,2.194586686174104
PM10_MID,PM2.5_MID,0.1371282301316431,0.548646671543526,2.194586686174104
NO2_LOW,PM10_LOW,0.132557289127255,0.5299707602339182,2.1193663743402706
PM10_LOW,NO2_LOW,0.132557289127255,0.5300999268827687,2.11936637434027
PM2.5_VERY_HIGH,SEASON_WINTER,0.12664553876157972,0.5068292682926829,1.9082273139390413
